id,WallOffset,Xaxis,Yaxis,AVG_Lux,W01,W02,W03
1,1,15.992144,-145.858053,973.63625,16.389308,16.135617,16.018202
2,1,0.990397,-145.858053,951.0925,3.675065,2.292344,1.225592
3,1,15.992144,-141.85721,964.1475,16.018954,16.135618,16.388574
4,1,0.990397,-141.85721,944.8675,1.226207,2.292346,3.674862
5,1.1,15.892144,-145.758053,1107.775,16.270484,16.024275,15.915471
6,1.1,1.090397,-145.758053,1084.95375,3.609201,2.252793,1.273639
7,1.1,15.892144,-141.95721,1096.245,15.916223,16.024276,16.269749
8,1.1,1.090397,-141.95721,1078.37,1.27429,2.252794,3.608974
9,1.2,15.792144,-145.658053,1107.775,16.152025,15.913411,15.813337
10,1.2,1.190397,-145.658053,1084.95375,3.547755,2.221555,1.335005
11,1.2,15.792144,-142.05721,1096.245,15.814088,15.913411,16.151289
12,1.2,1.190397,-142.05721,1078.37,1.335682,2.221557,3.547502
13,1.3,15.692144,-145.558053,1107.775,16.033938,15.803035,15.711811
14,1.3,1.290397,-145.558053,1084.95375,3.49096,2.198986,1.407949
15,1.3,15.692144,-142.15721,1096.245,15.712563,15.803035,16.033201
16,1.3,1.290397,-142.15721,1078.37,1.408644,2.198987,3.490681
17,1.4,15.592144,-145.458053,1078.47375,15.916231,15.693156,15.610907
18,1.4,1.390397,-145.458053,1066.9525,3.439045,2.185354,1.490772
19,1.4,15.592144,-142.25721,1077.3475,15.611659,15.693156,15.915494
20,1.4,1.390397,-142.25721,1052.095,1.491479,2.185355,3.43874
21,1.5,15.492144,-145.358053,1078.47375,15.798913,15.583787,15.510636
22,1.5,1.490397,-145.358053,1066.9525,3.392236,2.180826,1.581924
23,1.5,15.492144,-142.35721,1077.3475,15.511388,15.583787,15.798175
24,1.5,1.490397,-142.35721,1052.095,1.582638,2.180827,3.391904
25,1.6,15.392144,-145.258053,1078.47375,15.681993,15.474936,15.41101
26,1.6,1.590397,-145.258053,1066.9525,3.350745,2.18546,1.680049
27,1.6,15.392144,-142.45721,1077.3475,15.411762,15.474936,15.681255
28,1.6,1.590397,-142.45721,1052.095,1.680766,2.185461,3.350387
29,1.7,15.292144,-145.158053,1024.89625,15.56548,15.366617,15.312042
30,1.7,1.690397,-145.158053,1001.36875,3.314774,2.199197,1.783997
31,1.7,15.292144,-142.55721,1014.535,15.312793,15.366617,15.564741
32,1.7,1.690397,-142.55721,991.68625,1.784714,2.199198,3.314389
