Case,OverlapChecked,TableType,AVG_Lux,W01,W02,W03,W04,W05,W06
1900,False,1,1066,16.016829,16.26143,15.906808,2.196541,3.574713,1.170902
1900,False,1,1049,2.196785,3.574713,1.170901,16.015004,16.261431,15.906809
1900,False,1,1068,16.016829,15.906766,16.26108,2.195089,1.170328,3.573117
1900,False,1,1037,2.196787,1.170327,3.573116,16.014805,15.906767,16.26108
2900,False,1,1066,15.90591,16.142909,15.804618,2.16438,3.512594,1.237238
2900,False,1,1049,2.164756,3.512594,1.237238,15.90408,16.14291,15.804619
2900,False,1,1068,15.905911,15.804586,16.142566,2.162984,1.236831,3.511018
2900,False,1,1037,2.164758,1.23683,3.511018,15.90389,15.804587,16.142567
3900,False,1,1066,15.795479,16.024759,15.703036,2.141095,3.455151,1.315487
3900,False,1,1049,2.141605,3.455151,1.315486,15.793643,16.02476,15.703037
3900,False,1,1068,15.795479,15.703015,16.024424,2.139762,1.315232,3.453597
3900,False,1,1037,2.141607,1.315231,3.453596,15.793462,15.703016,16.024425
4900,False,1,1060,15.685546,15.906989,15.602075,2.126978,3.402619,1.403658
4900,False,1,1038,2.127622,3.402619,1.403657,15.683704,15.90699,15.602076
4900,False,1,1059,15.685546,15.602064,15.906662,2.125716,1.403538,3.40109
4900,False,1,1022,2.127624,1.403537,3.40109,15.683532,15.602065,15.906663
5900,False,1,1060,15.57612,15.789608,15.501747,2.122212,3.355229,1.500001
5900,False,1,1038,2.122988,3.355229,1.5,15.574272,15.789608,15.501747
5900,False,1,1059,15.57612,15.501747,15.789289,2.121026,1.5,3.353729
5900,False,1,1022,2.12299,1.5,3.353729,15.574111,15.501747,15.78929
6900,False,1,1060,15.467214,15.672623,15.402063,2.126859,3.313203,1.603044
6900,False,1,1038,2.127765,3.313202,1.603043,15.46536,15.672624,15.402064
6900,False,1,1059,15.467214,15.402074,15.672312,2.125755,1.603148,3.311734
6900,False,1,1022,2.127766,1.603148,3.311733,15.465208,15.402075,15.672313
7900,False,1,999,15.358837,15.556044,15.303037,2.140859,3.276745,1.711578
7900,False,1,980,2.141889,3.276745,1.711577,15.356977,15.556045,15.303038
